Nombre,usuario,followers,contenido,menciones,hashtags,likes,veces compartido
Gustavo Guallpa,gguallpa97,10,b'#Elecciones#2021 VOTA POR TU ASAMBLEISTA FAVORITA: LOURDES CUESTA https://t.co/XNrZDItnwF',,,0,0
Gustavo Guallpa,gguallpa97,10,b'#Elecciones#2021 VOTA POR TU ASAMBLEISTA FAVORITA: LOURDES CUESTA https://t.co/mTMOl4HoqL',,,0,0
Gustavo Guallpa,gguallpa97,10,b'#Elecciones#2021 VOTA POR TU ASAMBLEISTA FAVORITA: LOURDES CUESTA',,,0,0
Gustavo Guallpa,gguallpa97,10,b'VOTA POR TU ASAMBLEISTA FAVORITA: LOURDES CUESTA https://t.co/nvscz91mHs',,,0,0
Gustavo Guallpa,gguallpa97,10,b'VOTA POR TU ASAMBLEISTA FAVORITA: LOURDES CUESTA',,,0,0
Gustavo Guallpa,gguallpa97,10,b'\xe2\x98\x9b Amigos en el transcurso de los d\xc3\xadas ver\xc3\xa1n publicaciones como campa\xc3\xb1a pol\xc3\xadtica de candidatos a asamble\xc3\xadstas (elegi\xe2\x80\xa6 https://t.co/BOZacaDjfd',,,0,0
Gustavo Guallpa,gguallpa97,10,b'RT @CarlosVerareal: https://t.co/TdewduF7ne',CarlosVerareal,,0,712
Gustavo Guallpa,gguallpa97,10,"b'#ArgentinaSinAborto ""SI EL ABORTO NO ESTA MAL , ENTONCES NADA ESTA MAL"". #ArgentinaProVida'",,ArgentinaSinAborto,0,0
Gustavo Guallpa,gguallpa97,10,b'RT @mfatimanavarro: Genial ejemplo: queman templos cat\xc3\xb3licos y se va contra el Papa. Esto es m\xc3\xa1s da\xc3\xb1ino que el fuego que arde. #AmigoDateCu\xe2\x80\xa6',mfatimanavarro,,0,2
Gustavo Guallpa,gguallpa97,10,b'#GraciaLenin . Ecuador un pa\xc3\xads PRO VIDA @Lenin .',Lenin,GraciaLenin,0,0
Gustavo Guallpa,gguallpa97,10,"b'Los m\xc3\xa9dicos no pueden ser c\xc3\xb3mplices del delito del aborto (Arts 147, 148, 149 COIP); ya que se les obliga a hacer s\xe2\x80\xa6 https://t.co/i8BQ9LwNLs'",,,0,0
Gustavo Guallpa,gguallpa97,10,"b'La objeci\xc3\xb3n de conciencia es un derecho humano, es decir, inherente a cada persona. Los m\xc3\xa9dicos en el ejercicio de\xe2\x80\xa6 https://t.co/FRJgk1uBeE'",,,0,0
Gustavo Guallpa,gguallpa97,10,b'La Constituci\xc3\xb3n como norma suprema garantiza muchos derechos que el COS quiere menoscabar @Lenin #LeninVetoTotal',Lenin,LeninVetoTotal,0,0
Gustavo Guallpa,gguallpa97,10,b'Los principios constitucionales y los derechos fundamentales siempre estar\xc3\xa1n sobre cualquier ley @Lenin #LeninVetoTotal',Lenin,LeninVetoTotal,0,0
Gustavo Guallpa,gguallpa97,10,b'@Lenin \xc2\xbfcu\xc3\xa1l es el motivo de intentar utilizar el cannabis como una sustancia de necesidad urgente cuando existe un\xe2\x80\xa6 https://t.co/tLJLsEEwOS',Lenin,,0,0
Gustavo Guallpa,gguallpa97,10,"b'Cuando los padres intervienen en la vida sexual de los adolescentes, el contagio de enfermedades de transmisi\xc3\xb3n sex\xe2\x80\xa6 https://t.co/I3ZBqtudnQ'",,,0,0
Gustavo Guallpa,gguallpa97,10,"b'Nadie\xc2\xa0 con conciencia\xc2\xa0 recta\xc2\xa0 querr\xc3\xa1\xc2\xa0 contribuir\xc2\xa0 a\xc2\xa0 la\xc2\xa0 confusi\xc3\xb3n\xc2\xa0 entre\xc2\xa0 el\xc2\xa0 bien\xc2\xa0 y\xc2\xa0 el mal,\xc2\xa0 un\xc2\xa0 signo\xc2\xa0 tan\xc2\xa0 tr\xe2\x80\xa6 https://t.co/OMADMSFAU3'",,,0,0
Gustavo Guallpa,gguallpa97,10,"b'@Lenin\nLos ecuatorinos amamos la vida , por\xc2\xa0 ello\xc2\xa0 estamos\xc2\xa0 en\xc2\xa0 contra\xc2\xa0 de\xc2\xa0 los\xc2\xa0 que pisotean\xc2\xa0 la\xc2\xa0 dignidad\xc2\xa0 de\xc2\xa0 la\xe2\x80\xa6 https://t.co/9BRot2wYah'",Lenin,,0,0
Gustavo Guallpa,gguallpa97,10,b'Los j\xc3\xb3venes que aman la vida aspiran que el amor triunfe y no la violencia o el ego\xc3\xadsmo.@Lenin #LeninVetaelCOS #COStaraVidas',Lenin,LeninVetaelCOS,0,0
Gustavo Guallpa,gguallpa97,10,b'RT @TeresaArboleda: #VetoCos',TeresaArboleda,VetoCos,0,40
Gustavo Guallpa,gguallpa97,10,"b'Ni mujeres ni hombres somos un objeto de comercializaci\xc3\xb3n, \xc2\xbfdonde queda la dignidad humana? #LeninVetaElCOS https://t.co/Ue3Dor2UaB'",,LeninVetaElCOS,0,0
Gustavo Guallpa,gguallpa97,10,"b'@lopezobrador_\n@M_OlgaSCordero\n@SCJN\n@MargRiosFarjat\n\n#CorteAbortoNo\n\n*\xc2\xa1ALCEMOS NUESTRA VOZ Y DIGAMOS \xe2\x80\x9cM\xc3\x89XICO ES PROVIDA""'",lopezobrador_,CorteAbortoNo,0,0
Gustavo Guallpa,gguallpa97,10,b'Arturo Zald\xc3\xadvar Lelo de Larrea:  #CorteAbortoNO - Sign: https://t.co/la9JoEnHVb',,CorteAbortoNO,0,0
Gustavo Guallpa,gguallpa97,10,b'#MujerSalvaTuVida #SoyProvida https://t.co/mnQQ2byLAj',,MujerSalvaTuVida,1,0
Gustavo Guallpa,gguallpa97,10,"b'RT @JoseMediSa: Mientras en las c\xc3\xa1rceles se matan, en las calles se disparan, la ministra promueve el aborto #RomoEsViolencia #NoALaViolenc\xe2\x80\xa6'",JoseMediSa,RomoEsViolencia,0,14
Gustavo Guallpa,gguallpa97,10,b'@FCBarcelona_es #ValverdeOut',FCBarcelona_es,ValverdeOut,0,0
Gustavo Guallpa,gguallpa97,10,b'RT @Isa_c98: Con que a esto le llaman activismo. Qu\xc3\xa9 verg\xc3\xbcenza! #NoFueLey https://t.co/NUJuSUK3E3',Isa_c98,NoFueLey,0,1
Gustavo Guallpa,gguallpa97,10,b'RT @HectorYepezM: TRIUNFO DE LA VIDA EN ECUADOR!!!!\n \nNo pas\xc3\xb3 la legalizaci\xc3\xb3n del aborto en la Asamblea!!!\n\nGRACIAS a miles y miles de ecua\xe2\x80\xa6',HectorYepezM,,0,634
Gustavo Guallpa,gguallpa97,10,"b'#VotoProvida2021, @ealbornozv https://t.co/YK8ScAly8F'",ealbornozv,VotoProvida2021,4,0
